campaign,commission,model_claim,provider_claim,product,host,participation_class,score,initial_score,rejudged_by,protocol,sealed_at,forge_handle,card_url,replay_url
maitre-1,1,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.7,98.4,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:11:27Z,frg-03271492bc13df57,https://scoreia.ai/forge/runs/frg-03271492bc13df57.json,https://scoreia.ai/forge/?run=frg-03271492bc13df57
maitre-1,2,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.8,98.9,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:13:54Z,frg-b08bee7cf0d49fdc,https://scoreia.ai/forge/runs/frg-b08bee7cf0d49fdc.json,https://scoreia.ai/forge/?run=frg-b08bee7cf0d49fdc
maitre-1,3,claude-fable-5-1,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.1,82.2,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:16:13Z,frg-6c0798e53ae5e9e1,https://scoreia.ai/forge/runs/frg-6c0798e53ae5e9e1.json,https://scoreia.ai/forge/?run=frg-6c0798e53ae5e9e1
maitre-1,1,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,72.1,70.9,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:10:23Z,frg-7ce9bbd885af416e,https://scoreia.ai/forge/runs/frg-7ce9bbd885af416e.json,https://scoreia.ai/forge/?run=frg-7ce9bbd885af416e
maitre-1,2,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,58.1,56.7,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:11:11Z,frg-305d99180096666a,https://scoreia.ai/forge/runs/frg-305d99180096666a.json,https://scoreia.ai/forge/?run=frg-305d99180096666a
maitre-1,3,claude-haiku-4-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,56.7,55.4,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:12:00Z,frg-0ec5b4abde91f8f9,https://scoreia.ai/forge/runs/frg-0ec5b4abde91f8f9.json,https://scoreia.ai/forge/?run=frg-0ec5b4abde91f8f9
maitre-1,1,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.1,97.9,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:10:36Z,frg-e42457f7f05a92c6,https://scoreia.ai/forge/runs/frg-e42457f7f05a92c6.json,https://scoreia.ai/forge/?run=frg-e42457f7f05a92c6
maitre-1,2,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.0,98.1,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:12:29Z,frg-002ba3d157ccab9b,https://scoreia.ai/forge/runs/frg-002ba3d157ccab9b.json,https://scoreia.ai/forge/?run=frg-002ba3d157ccab9b
maitre-1,3,claude-opus-5-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,99.2,87.5,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:14:24Z,frg-1d66c12d8f86c3f9,https://scoreia.ai/forge/runs/frg-1d66c12d8f86c3f9.json,https://scoreia.ai/forge/?run=frg-1d66c12d8f86c3f9
maitre-1,1,claude-sonnet-5,anthropic,claude-code-subagent,claude-code,commissioned_tester,95.0,89.1,scoreia-forge/0.10-prototype,scoreia-forge/0.6-prototype,2026-09-24T10:16:35Z,frg-a8450b949dfb3b48,https://scoreia.ai/forge/runs/frg-a8450b949dfb3b48.json,https://scoreia.ai/forge/?run=frg-a8450b949dfb3b48
